sampleid	SampleName	spots_with_mates	category
SRR8691465	DNA_extract_control_10653	283	control
SRR8691464	DNA_extract_control_10708	249	control
SRR8691463	DNA_extract_control_10709	1134	control
SRR8691462	DNA_extract_control_10712	491	control
SRR8691461	DNA_extract_control_11233	1036	control
SRR8691460	DNA_extract_control_11866	220	control
SRR8691459	DNA_extract_control_11871	274	control
SRR8691468	Water_control_10648	747	control
SRR8691497	Water_control_10879	250	control
SRR8691469	Water_control_10880	590	control
SRR8691496	Water_control_10980	692	control
SRR8691479	Water_control_11110	119	control
SRR8691481	Water_control_11234	12	control
SRR8691493	Water_control_11581	7075	control
SRR8691492	Water_control_11739	1482	control
SRR8691491	Water_control_11877	123	control
SRR8691490	Water_control_12644	57	control
SRR8691480	Water_control_12654	2823	control
SRR8691478	Water_control_12757	345	control
SRR8691466	Water_control_12817	82	control
SRR8691467	Water_control_12841	379	control
SRR9974006	C166_control_12_Healthy_12780	25114	healthy
SRR9974005	C166_control_13_Healthy_13209	32414	healthy
SRR9974008	C166_control_14_Healthy_13211	70409	healthy
SRR9974007	C166_control_15_Healthy_13212	38505	healthy
SRR9974002	C166_control_16_Healthy_13218	145781	healthy
SRR9974001	C166_control_17_Healthy_13364	120507	healthy
SRR9974004	C166_control_18_Healthy_13370	120613	healthy
SRR9974003	C166_control_19_Healthy_13371	126126	healthy
SRR9974000	C166_control_20_Healthy_13380	166330	healthy
SRR9973999	C166_control_21_Healthy_13383	230879	healthy
SRR9973998	C166_control_22_Healthy_13394	102290	healthy
SRR9973997	C166_control_23_Healthy_13396	220665	healthy
SRR9973996	C166_control_24_Healthy_13397	161102	healthy
SRR9973995	C166_control_25_Healthy_13398	165075	healthy
SRR8445555	C166_control_11_Healthy_12754	1889	healthy
SRR8445632	C166_control_8_Healthy_12753	26057	healthy
SRR8445660	C166_control_10_Healthy_12629	49886	healthy
SRR8445661	C166_control_11_Healthy_12630	4938	healthy
SRR8445678	C166_control_1_Healthy_12620	51241	healthy
SRR8445666	C166_control_2_Healthy_12621	23520	healthy
SRR8445667	C166_control_3_Healthy_12622	15750	healthy
SRR8445668	C166_control_4_Healthy_12623	37222	healthy
SRR8445669	C166_control_5_Healthy_12624	19948	healthy
SRR8445662	C166_control_6_Healthy_12625	37561	healthy
SRR8445663	C166_control_7_Healthy_12626	36422	healthy
SRR8445664	C166_control_8_Healthy_12627	10728	healthy
SRR8445665	C166_control_9_Healthy_12628	33486	healthy
SRR8691458	Mock_control_10647	69236	mockCommunity
SRR8691457	Mock_control_10878	27571	mockCommunity
SRR8691456	Mock_control_10981	61495	mockCommunity
SRR8691487	Mock_control_11111	31759	mockCommunity
SRR8691486	Mock_control_11235	4	mockCommunity
SRR8691489	Mock_control_11458	14837	mockCommunity
SRR8691488	Mock_control_11459	54	mockCommunity
SRR8691483	Mock_control_11460	18341	mockCommunity
SRR8691482	Mock_control_11518	31855	mockCommunity
SRR8691485	Mock_control_11519	36605	mockCommunity
SRR8691484	Mock_control_11520	54320	mockCommunity
SRR8691495	Mock_control_11737	703	mockCommunity
SRR8691494	Mock_control_11738	49182	mockCommunity
SRR8691470	Mock_control_11797	7803	mockCommunity
SRR8691471	Mock_control_11798	25599	mockCommunity
SRR8691472	Mock_control_11876	14427	mockCommunity
SRR8691473	Mock_control_12643	5270	mockCommunity
SRR8691474	Mock_control_12653	30391	mockCommunity
SRR8691475	Mock_control_12756	101746	mockCommunity
SRR8691476	Mock_control_12816	17722	mockCommunity
SRR8691477	Mock_control_12840	112746	mockCommunity
SRR8445474	C166_08_Day28_11551	55198	diseased
SRR8445473	C166_22_Day0_11732	20319	diseased
SRR8445472	C166_22_Day14_11733	156	diseased
SRR8445471	C166_24_Day28_11730	3471	diseased
SRR8445487	C166_01_Day0_10943	21711	diseased
SRR8445510	C166_01_Day0_11535	51325	diseased
SRR8445486	C166_01_Day14_10944	45019	diseased
SRR8445507	C166_01_Day14_11536	50488	diseased
SRR8445485	C166_01_Day28_10945	40413	diseased
SRR8445494	C166_01_Day28_11527	15862	diseased
SRR8445492	C166_01_Day42_10946	21486	diseased
SRR8445489	C166_01_Day42_11517	63756	diseased
SRR8445493	C166_01_Day42_11528	43612	diseased
SRR8445491	C166_03_Day0_10947	42208	diseased
SRR8445509	C166_03_Day0_11534	71777	diseased
SRR8445488	C166_05_Day42_10942	40536	diseased
SRR8445511	C166_05_Day42_11532	55760	diseased
SRR8445520	C166_08_Day0_10939	64161	diseased
SRR8445513	C166_08_Day0_11529	26893	diseased
SRR8445516	C166_08_Day14_10941	42390	diseased
SRR8445505	C166_08_Day14_11540	157	diseased
SRR8445515	C166_08_Day28_10940	30507	diseased
SRR8445506	C166_08_Day28_11541	31293	diseased
SRR8445533	C166_09_Day0_10805	2099	diseased
SRR8445523	C166_09_Day0_10934	68700	diseased
SRR8445484	C166_09_Day14_10838	39541	diseased
SRR8445524	C166_09_Day14_10935	50137	diseased
SRR8445481	C166_09_Day14_11542	51129	diseased
SRR8445476	C166_09_Day14_11547	26950	diseased
SRR8445517	C166_09_Day28_10936	33805	diseased
SRR8445480	C166_09_Day28_11543	60878	diseased
SRR8445479	C166_09_Day28_11548	54219	diseased
SRR8445518	C166_09_Day42_10937	43948	diseased
SRR8445478	C166_09_Day42_11549	21469	diseased
SRR8445519	C166_09_Day56_10938	23714	diseased
SRR8445508	C166_09_Day56_11537	51372	diseased
SRR8445475	C166_09_Day56_11550	35920	diseased
SRR8445522	C166_10_Day42_10913	72684	diseased
SRR8445483	C166_10_Day42_11544	73372	diseased
SRR8445514	C166_11_Day0_11530	110906	diseased
SRR8445521	C166_11_Day14_10912	94	diseased
SRR8445490	C166_11_Day14_11108	33322	diseased
SRR8445512	C166_11_Day14_11533	77076	diseased
SRR8445477	C166_11_Day14_11546	54717	diseased
SRR8445482	C166_22_Day0_11545	54932	diseased
SRR8445525	C166_22_Day14_12206	333	diseased
SRR8445500	C166_24_Day0_11758	60087	diseased
SRR8445496	C166_24_Day14_12188	88799	diseased
SRR8445532	C166_24_Day42_12189	183724	diseased
SRR8445497	C166_26_Day56_11744	67775	diseased
SRR8445498	C166_30_Day14_11748	31649	diseased
SRR8445504	C166_30_Day28_11867	20811	diseased
SRR8445499	C166_30_Day42_11754	95991	diseased
SRR8445534	C166_31_Day14_12211	77087	diseased
SRR8445495	C166_31_Day28_11868	58023	diseased
SRR8445503	C166_32_Day28_11794	87430	diseased
SRR8445531	C166_33_Day0_12193	105444	diseased
SRR8445530	C166_33_Day14_12194	68077	diseased
SRR8445501	C166_33_Day28_11792	70925	diseased
SRR8445529	C166_33_Day28_12195	63671	diseased
SRR8445528	C166_33_Day42_12196	81380	diseased
SRR8445527	C166_34_Day14_12201	38087	diseased
SRR8445502	C166_34_Day28_11793	99459	diseased
SRR8445526	C166_34_Day42_12202	49192	diseased
SRR8445584	C166_01_Day28_11553	1709	diseased
SRR8445585	C166_01_Day42_11554	5500	diseased
SRR8445586	C166_03_Day0_11555	5835	diseased
SRR8445591	C166_05_Day0_10823	54971	diseased
SRR8445592	C166_05_Day14_10824	36166	diseased
SRR8445593	C166_05_Day28_10825	37892	diseased
SRR8445583	C166_05_Day42_11552	52689	diseased
