sampleid	spots_with_mates	Experiment	LibraryName	Sample	SampleName	category
SRR8445510	51325	SRX5252685	11535	SRS4254390	C166_01_Day0_11535	CEdogsDay0
SRR8445509	71777	SRX5252686	11534	SRS4254391	C166_03_Day0_11534	CEdogsDay0
SRR8445520	64161	SRX5252675	10939	SRS4254380	C166_08_Day0_10939	CEdogsDay0
SRR8445523	68700	SRX5252672	10934	SRS4254377	C166_09_Day0_10934	CEdogsDay0
SRR8445514	110906	SRX5252681	11530	SRS4254386	C166_11_Day0_11530	CEdogsDay0
SRR8445482	54932	SRX5252713	11545	SRS4254418	C166_22_Day0_11545	CEdogsDay0
SRR8445500	60087	SRX5252695	11758	SRS4254400	C166_24_Day0_11758	CEdogsDay0
SRR8445531	105444	SRX5252664	12193	SRS4254370	C166_33_Day0_12193	CEdogsDay0
SRR8445591	54971	SRX5252604	10823	SRS4254310	C166_05_Day0_10823	CEdogsDay0
SRR8445560	15194	SRX5252635	12636	SRS4254341	C166_10_Day0_12636	CEdogsDay0
SRR8445569	41874	SRX5252626	10847	SRS4254331	C166_12_Day0_10847	CEdogsDay0
SRR8445541	35563	SRX5252654	10905	SRS4254359	C166_21_Day0_10905	CEdogsDay0
SRR8445545	45400	SRX5252650	10909	SRS4254355	C166_23_Day0_10909	CEdogsDay0
SRR8445551	77007	SRX5252644	12223	SRS4254349	C166_25_Day0_12223	CEdogsDay0
SRR8445579	24734	SRX5252616	11696	SRS4254321	C166_31_Day0_11696	CEdogsDay0
SRR8445587	65187	SRX5252608	11700	SRS4254313	C166_32_Day0_11700	CEdogsDay0
SRR8445558	11159	SRX5252637	12641	SRS4254342	C166_34_Day0_12641	CEdogsDay0
SRR8445556	26169	SRX5252639	12755	SRS4254344	C166_42_Day0_12755	CEdogsDay0
SRR8445595	57289	SRX5252600	10828	SRS4254305	C166_06_Day0_10828	CEdogsDay0
SRR8445631	95337	SRX5252564	10850	SRS4254269	C166_13_Day0_10850	CEdogsDay0
SRR8445653	49258	SRX5252542	11740	SRS4254247	C166_26_Day0_11740	CEdogsDay0
SRR8445633	119316	SRX5252562	12752	SRS4254267	C166_27_Day0_12752	CEdogsDay0
SRR8445636	210885	SRX5252559	12652	SRS4254264	C166_30_Day0_12652	CEdogsDay0
SRR8445639	157176	SRX5252556	12647	SRS4254261	C166_36_Day0_12647	CEdogsDay0
SRR8445659	55433	SRX5252536	10892	SRS4254241	C166_20_Day0_10892	CEdogsDay0
SRR8445673	74437	SRX5252522	12230	SRS4254227	C166_39_Day0_12230	CEdogsDay0
SRR8445672	62349	SRX5252523	12231	SRS4254228	C166_40_Day0_12231	CEdogsDay0
SRR8445629	89195	SRX5252566	10656	SRS4254271	C166_18_Day0_10656	CEdogsDay0
