sampleid	spots_with_mates	Experiment	LibraryName	Sample	SampleName	category
SRR9974006	25114	SRX6721239	12780	SRS5273531	C166_control_12_Healthy_12780	healthy_control
SRR9974005	32414	SRX6721240	13209	SRS5273532	C166_control_13_Healthy_13209	healthy_control
SRR9974008	70409	SRX6721237	13211	SRS5273529	C166_control_14_Healthy_13211	healthy_control
SRR9974007	38505	SRX6721238	13212	SRS5273530	C166_control_15_Healthy_13212	healthy_control
SRR9974002	145781	SRX6721243	13218	SRS5273535	C166_control_16_Healthy_13218	healthy_control
SRR9974001	120507	SRX6721244	13364	SRS5273536	C166_control_17_Healthy_13364	healthy_control
SRR9974004	120613	SRX6721241	13370	SRS5273533	C166_control_18_Healthy_13370	healthy_control
SRR9974003	126126	SRX6721242	13371	SRS5273534	C166_control_19_Healthy_13371	healthy_control
SRR9974000	166330	SRX6721245	13380	SRS5273537	C166_control_20_Healthy_13380	healthy_control
SRR9973999	230879	SRX6721246	13383	SRS5273538	C166_control_21_Healthy_13383	healthy_control
SRR9973998	102290	SRX6721247	13394	SRS5273539	C166_control_22_Healthy_13394	healthy_control
SRR9973997	220665	SRX6721248	13396	SRS5273540	C166_control_23_Healthy_13396	healthy_control
SRR9973996	161102	SRX6721249	13397	SRS5273541	C166_control_24_Healthy_13397	healthy_control
SRR9973995	165075	SRX6721250	13398	SRS5273542	C166_control_25_Healthy_13398	healthy_control
SRR8445555	1889	SRX5252640	12754	SRS4254345	C166_control_11_Healthy_12754	healthy_control
SRR8445632	26057	SRX5252563	12753	SRS4254268	C166_control_8_Healthy_12753	healthy_control
SRR8445660	49886	SRX5252535	12629	SRS4254240	C166_control_10_Healthy_12629	healthy_control
SRR8445661	4938	SRX5252534	12630	SRS4254239	C166_control_11_Healthy_12630	healthy_control
SRR8445678	51241	SRX5252517	12620	SRS4254221	C166_control_1_Healthy_12620	healthy_control
SRR8445666	23520	SRX5252529	12621	SRS4254234	C166_control_2_Healthy_12621	healthy_control
SRR8445667	15750	SRX5252528	12622	SRS4254233	C166_control_3_Healthy_12622	healthy_control
SRR8445668	37222	SRX5252527	12623	SRS4254232	C166_control_4_Healthy_12623	healthy_control
SRR8445669	19948	SRX5252526	12624	SRS4254231	C166_control_5_Healthy_12624	healthy_control
SRR8445662	37561	SRX5252533	12625	SRS4254238	C166_control_6_Healthy_12625	healthy_control
SRR8445663	36422	SRX5252532	12626	SRS4254236	C166_control_7_Healthy_12626	healthy_control
SRR8445664	10728	SRX5252531	12627	SRS4254237	C166_control_8_Healthy_12627	healthy_control
SRR8445665	33486	SRX5252530	12628	SRS4254235	C166_control_9_Healthy_12628	healthy_control
