sampleid	spots_with_mates	Experiment	LibraryName	Sample	SampleName	category
SRR8691458	69236	SRX5487349	10647	SRS4459949	Mock_control_10647	mock_control
SRR8691457	27571	SRX5487350	10878	SRS4459950	Mock_control_10878	mock_control
SRR8691456	61495	SRX5487351	10981	SRS4459951	Mock_control_10981	mock_control
SRR8691487	31759	SRX5487320	11111	SRS4459920	Mock_control_11111	mock_control
SRR8691486	4	SRX5487321	11235	SRS4459921	Mock_control_11235	mock_control
SRR8691489	14837	SRX5487318	11458	SRS4459918	Mock_control_11458	mock_control
SRR8691488	54	SRX5487319	11459	SRS4459919	Mock_control_11459	mock_control
SRR8691483	18341	SRX5487324	11460	SRS4459924	Mock_control_11460	mock_control
SRR8691482	31855	SRX5487325	11518	SRS4459925	Mock_control_11518	mock_control
SRR8691485	36605	SRX5487322	11519	SRS4459922	Mock_control_11519	mock_control
SRR8691484	54320	SRX5487323	11520	SRS4459923	Mock_control_11520	mock_control
SRR8691495	703	SRX5487312	11737	SRS4459912	Mock_control_11737	mock_control
SRR8691494	49182	SRX5487313	11738	SRS4459913	Mock_control_11738	mock_control
SRR8691470	7803	SRX5487337	11797	SRS4459937	Mock_control_11797	mock_control
SRR8691471	25599	SRX5487336	11798	SRS4459936	Mock_control_11798	mock_control
SRR8691472	14427	SRX5487335	11876	SRS4459935	Mock_control_11876	mock_control
SRR8691473	5270	SRX5487334	12643	SRS4459934	Mock_control_12643	mock_control
SRR8691474	30391	SRX5487333	12653	SRS4459933	Mock_control_12653	mock_control
SRR8691475	101746	SRX5487332	12756	SRS4459932	Mock_control_12756	mock_control
SRR8691476	17722	SRX5487331	12816	SRS4459931	Mock_control_12816	mock_control
SRR8691477	112746	SRX5487330	12840	SRS4459930	Mock_control_12840	mock_control
