sampleid	spots_with_mates	Experiment	LibraryName	Sample	SampleName	category
SRR8691468	747	SRX5487339	10648	SRS4459939	Water_control_10648	water_control
SRR8691497	250	SRX5487310	10879	SRS4459910	Water_control_10879	water_control
SRR8691469	590	SRX5487338	10880	SRS4459938	Water_control_10880	water_control
SRR8691496	692	SRX5487311	10980	SRS4459911	Water_control_10980	water_control
SRR8691479	119	SRX5487328	11110	SRS4459928	Water_control_11110	water_control
SRR8691481	12	SRX5487326	11234	SRS4459926	Water_control_11234	water_control
SRR8691493	7075	SRX5487314	11581	SRS4459914	Water_control_11581	water_control
SRR8691492	1482	SRX5487315	11739	SRS4459915	Water_control_11739	water_control
SRR8691491	123	SRX5487316	11877	SRS4459916	Water_control_11877	water_control
SRR8691490	57	SRX5487317	12644	SRS4459917	Water_control_12644	water_control
SRR8691480	2823	SRX5487327	12654	SRS4459927	Water_control_12654	water_control
SRR8691478	345	SRX5487329	12757	SRS4459929	Water_control_12757	water_control
SRR8691466	82	SRX5487341	12817	SRS4459941	Water_control_12817	water_control
SRR8691467	379	SRX5487340	12841	SRS4459940	Water_control_12841	water_control
